COD_CONCESION,SECTOR,COD_SUMINISTRO,FECHA_ALTA_SUMINISTRO,FECHA_BAJA_SUMINISTRO,COD_TIPO_SUMINISTRO,NUM_VIVIENDAS,NUM_PERSONAS
VR,3.2,1001252,2009-08-27,,CONT,1.0,3.0
VR,3.1,1001253,2009-08-23,2021-12-31,CONT,1.0,3.0
VR,3.2,1001255,2009-08-30,,CONT,1.0,3.0
VR,3.1,1001258,2009-08-21,,CONT,1.0,3.0
VR,3.1,1001259,2009-08-23,2022-02-28,SIN_CONT,1.0,3.0
VR,3.1,1001261,2009-08-23,,CONT,1.0,3.0
VR,3.1,1001262,2009-08-23,,CONT,1.0,3.0
VR,0,1001263,2009-08-23,,CONT,1.0,3.0
VR,0,1001264,2009-08-17,,CONT,1.0,3.0
VR,2,1001265,2009-08-10,,CONT,1.0,3.0
VR,2,1001266,2009-08-10,,CONT,1.0,3.0
VR,2,1001267,2009-08-13,,CONT,1.0,3.0
VR,3.2,1001268,2009-09-01,,CONT,1.0,3.0
VR,2,1001269,2009-08-13,,CONT,1.0,3.0
VR,3.1,1001270,2009-08-21,,CONT,1.0,3.0
VR,2.1,1001271,2009-09-10,,CONT,1.0,3.0
VR,3.2.1,1001272,2009-08-27,,CONT,1.0,3.0
VR,2.2,1001273,2009-09-04,,CONT,1.0,3.0
VR,2,1001274,2009-08-10,,CONT,1.0,3.0
VR,2.2,1001275,2009-09-10,,CONT,1.0,3.0
VR,0,1001276,2009-08-21,,CONT,1.0,3.0
VR,3.2,1001277,2009-08-30,,CONT,1.0,3.0
VR,2.2,1001278,2009-09-04,,CONT,1.0,3.0
VR,2,1001279,2009-08-13,,CONT,1.0,3.0
VR,,1001281,2009-08-23,2013-08-31,CONT,,
VR,3.1,1001282,2009-09-10,,CONT,1.0,3.0
VR,3.2,1001289,2009-09-02,,CONT,1.0,3.0
VR,3,1001322,2009-08-25,,CONT,1.0,3.0
VR,2.1,1001323,2009-09-10,,CONT,1.0,3.0
VR,3,1001324,2009-08-27,,CONT,1.0,3.0
VR,2.2,1001325,2009-08-30,,SIN_CONT,1.0,3.0
