Canonical,RowKey,INF_Label,INF_Value,STA_Label,Sector_Neta
TOTALIZADOR,2022-12-05 05:45:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 06:00:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 06:15:00+00:00,LS Urda,0.13287012,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 06:30:00+00:00,LS Urda,0.13799652,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 06:45:00+00:00,LS Urda,0.14603683,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 07:00:00+00:00,LS Urda,0.15780076,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 07:15:00+00:00,LS Urda,0.15950021,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 07:30:00+00:00,LS Urda,0.21482019,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 07:45:00+00:00,LS Urda,0.21230826,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 08:00:00+00:00,LS Urda,0.24629192,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 08:15:00+00:00,LS Urda,0.24702564,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 08:30:00+00:00,LS Urda,0.24102621,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 08:45:00+00:00,LS Urda,0.23760796,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 09:00:00+00:00,LS Urda,0.24515651,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 09:15:00+00:00,LS Urda,0.24939676,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 09:30:00+00:00,LS Urda,0.2384424,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 09:45:00+00:00,LS Urda,0.23902261,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 10:00:00+00:00,LS Urda,0.23359689,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 10:15:00+00:00,LS Urda,0.20646247,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 10:30:00+00:00,LS Urda,0.2343866,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 10:45:00+00:00,LS Urda,0.24917826,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 11:00:00+00:00,LS Urda,0.23190536,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 11:15:00+00:00,LS Urda,0.23030616,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 11:30:00+00:00,LS Urda,0.21920466,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 11:45:00+00:00,LS Urda,0.2343866,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 12:00:00+00:00,LS Urda,0.26283544,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 12:15:00+00:00,LS Urda,0.24917826,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 12:30:00+00:00,LS Urda,0.25592506,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 12:45:00+00:00,LS Urda,0.25618798,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 13:00:00+00:00,LS Urda,0.24187417,11000 Carretera Urda,22110000
